English,Selected_URI,Selected_Text,Status
struggle,http://srs4autism.com/schema/word-zh-挣扎,挣扎,Pending Apply
suit,http://srs4autism.com/schema/word-zh-西装,西装,Pending Apply
support,http://srs4autism.com/schema/word-zh-撑,撑,Pending Apply
surrender,http://srs4autism.com/schema/word-zh-投降,投降,Pending Apply
sweet,http://srs4autism.com/schema/word-zh-甜,甜,Pending Apply
swollen,http://srs4autism.com/schema/word-zh-肿,肿,Pending Apply
talent,http://srs4autism.com/schema/word-zh-才能,才能,Pending Apply
talk,http://srs4autism.com/schema/word-zh-谈话,谈话,Pending Apply
target,http://srs4autism.com/schema/word-zh-靶,靶,Pending Apply
team,http://srs4autism.com/schema/word-zh-团队,团队,Pending Apply
temporary,http://srs4autism.com/schema/word-zh-暂时,暂时,Pending Apply
theater,http://srs4autism.com/schema/word-zh-剧院,剧院,Pending Apply
third,http://srs4autism.com/schema/word-zh-第三,第三,Pending Apply
thousand,http://srs4autism.com/schema/word-zh-一千,一千,Pending Apply
tide,http://srs4autism.com/schema/word-zh-潮,潮,Pending Apply
tie,http://srs4autism.com/schema/word-zh-领带,领带,Pending Apply
tight,http://srs4autism.com/schema/word-zh-紧,紧,Pending Apply
tile,http://srs4autism.com/schema/word-zh-瓷砖,瓷砖,Pending Apply
times,http://srs4autism.com/schema/word-zh-乘,乘,Pending Apply
tired,http://srs4autism.com/schema/word-zh-疲劳,疲劳,Pending Apply
toast,http://srs4autism.com/schema/word-zh-吐司,吐司,Pending Apply
tomb,http://srs4autism.com/schema/word-zh-坟墓,坟墓,Pending Apply
toss,http://srs4autism.com/schema/word-zh-抛,抛,Pending Apply
towards,http://srs4autism.com/schema/word-zh-朝,朝,Pending Apply
tradition,http://srs4autism.com/schema/word-zh-传统,传统,Pending Apply
trap,http://srs4autism.com/schema/word-zh-陷阱,陷阱,Pending Apply
travel,http://srs4autism.com/schema/word-zh-旅行,旅行,Pending Apply
tray,http://srs4autism.com/schema/word-zh-托盘,托盘,Pending Apply
trick,http://srs4autism.com/schema/word-zh-技巧,技巧,Pending Apply
trust,http://srs4autism.com/schema/word-zh-信任,信任,Pending Apply
type,http://srs4autism.com/schema/word-zh-打字,打字,Pending Apply
unbearable,http://srs4autism.com/schema/word-zh-难以忍受的,难以忍受的,Pending Apply
underwear,http://srs4autism.com/schema/word-zh-内衣,内衣,Pending Apply
upset,http://srs4autism.com/schema/word-zh-难过,难过,Pending Apply
urge,http://srs4autism.com/schema/word-zh-催促,催促,Pending Apply
valley,http://srs4autism.com/schema/word-zh-山谷,山谷,Pending Apply
vast,http://srs4autism.com/schema/word-zh-广阔,广阔,Pending Apply
vein,http://srs4autism.com/schema/word-zh-静脉,静脉,Pending Apply
victory,http://srs4autism.com/schema/word-zh-胜利,胜利,Pending Apply
virtue,http://srs4autism.com/schema/word-zh-美德,美德,Pending Apply
volume,http://srs4autism.com/schema/word-zh-体积,体积,Pending Apply
vomit,http://srs4autism.com/schema/word-zh-呕吐,呕吐,Pending Apply
waddle,http://srs4autism.com/schema/word-zh-蹒跚,蹒跚,Pending Apply
wacky,http://srs4autism.com/schema/word-zh-古怪,古怪,Pending Apply
waist,http://srs4autism.com/schema/word-zh-腰,腰,Pending Apply
warrior,http://srs4autism.com/schema/word-zh-武士,武士,Pending Apply
wave,http://srs4autism.com/schema/word-zh-挥手,挥手,Pending Apply
weapon,http://srs4autism.com/schema/word-zh-武器,武器,Pending Apply
wedding,http://srs4autism.com/schema/word-zh-婚礼,婚礼,Pending Apply
weigh,http://srs4autism.com/schema/word-zh-称重,称重,Pending Apply
wheat,http://srs4autism.com/schema/word-zh-小麦,小麦,Pending Apply
width,http://srs4autism.com/schema/word-zh-宽度,宽度,Pending Apply
wife,http://srs4autism.com/schema/word-zh-妻子,妻子,Pending Apply
win,http://srs4autism.com/schema/word-zh-赢,赢,Pending Apply
wipe,http://srs4autism.com/schema/word-zh-擦拭,擦拭,Pending Apply
